drugA,drugB,cell_line,tissue,sensitivity_A,sensitivity_B,loewe_score,synergy_label
CDK4/6 inhibitor,BCL-2 inhibitor,SUM-159,esophageal,0.3083452699285018,1.345216950629064,-9.661471251964343,0
Histone deacetylase inhibitor,TNF-alpha inhibitor,MEWO,liver,2.9863890152748565,2.0698402744452835,-8.307127829308566,0
BCL-2 inhibitor,IL-2 inhibitor,SUM-159,endometrium,0.633286538217213,0.5222795160370358,-0.8579835495006698,0
Heat shock protein inhibitor,Topoisomerase inhibitor,MCF-7,breast,1.3731195417994453,1.6088828331658973,2.3086465900077453,0
Heat shock protein inhibitor,IL-2 inhibitor,RS4-11,ovarian,0.6689159933274842,0.9309820694561635,-5.721334865398502,0
PI3K inhibitor,KRAS inhibitor,MDA-MB-453,soft tissue,0.28734438981459237,2.167450857548966,-6.411833679486719,0
NF-kappa-B inhibitor,ATM inhibitor,A2780,stomach,1.9861151469518448,0.3044932552420914,1.8046369907180129,0
NF-kappa-B inhibitor,CTLA-4 inhibitor,ZR-75-1,prostate,0.11172751945183274,1.6920253184751257,-9.154272192201526,0
TNF-alpha inhibitor,MEK inhibitor,HepG2,gastric,2.761779855836161,0.4097978903413981,-4.459260286261223,0
IL-2 inhibitor,mTOR inhibitor,U251,renal,0.7642398651077931,0.6532424122102826,-2.4128616611150537,0
STAT3 inhibitor,PROTAC degrader,A549,lung,0.0002694041528053474,0.49361724733901113,-1.5947698847451477,0
STAT3 inhibitor,PDGFR inhibitor,KG-1,renal,1.4313138256088904,0.4038352959592348,0.9292273518916527,0
IL-2 inhibitor,ALK inhibitor,HL60,ovarian,0.09596998472250436,3.494080320207032,-4.677314148540127,0
STAT3 inhibitor,NF-kappa-B inhibitor,U251,esophageal,0.6463962198195594,0.6729256627813774,-0.8097348298808917,0
PROTAC degrader,MEK inhibitor,CCRF-CEM,renal,2.4550048511866462,5.237985838081075,-1.2193686581356555,0
CDK4/6 inhibitor,ALK inhibitor,COLO-829,ovarian,0.12948160931765357,7.008223472904364,-1.7857584901937926,0
Topoisomerase inhibitor,MCL-1 inhibitor,U87,breast,3.6569111284295728,1.6938114009570275,8.653668415506528,1
DNA-PKcs inhibitor,MEK inhibitor,SW480,liver,0.007654474392792114,0.30863734076045723,-6.108262433978855,0
Histone deacetylase inhibitor,MCL-1 inhibitor,MDA-MB-453,renal,0.566912346182991,0.938562159509663,-8.730268696230565,0
EGFR inhibitor,STAT3 inhibitor,MEWO,prostate,2.7011136926222084,3.1963260604345747,-8.210924919403848,0
KRAS inhibitor,IL-2 inhibitor,K562,breast,0.7603847902394995,0.9158046246973368,-6.631264260191484,0
PROTAC degrader,Heat shock protein inhibitor,MCF-7,stomach,0.21493076548758702,0.18207651520840312,5.09098181280776,1
PDGFR inhibitor,PROTAC degrader,A2780,breast,0.893305335129616,1.6274001967779157,2.6066412581903027,0
ATM inhibitor,MEK inhibitor,ZR-75-1,ovarian,0.6304992769775121,3.7302203064962662,0.5194001313257619,0
MET inhibitor,DNA-PKcs inhibitor,MV4-11,pancreas,3.6993522742740583,3.17854900578378,1.8356090630307076,0
PDGFR inhibitor,Histone deacetylase inhibitor,Huh-7,urinary tract,0.7518550905876795,0.385042329104034,-4.735365641108629,0
MCL-1 inhibitor,ALK inhibitor,PC-3,breast,3.1111543154627013,2.2341510668796167,-3.9301938752717476,0
HER2 inhibitor,BRAF inhibitor,MV4-11,bone,4.448881815408057,0.49821611989691567,-4.094771710140808,0
Histone deacetylase inhibitor,Microtubule stabilizer,A431,pancreas,1.1376773450865927,0.49233192622348865,-7.121902233932477,0
NF-kappa-B inhibitor,IL-2 inhibitor,SUM-159,renal,4.814628146322393,4.1440863274747155,-9.08175012784642,0
CTLA-4 inhibitor,NF-kappa-B inhibitor,HeLa,ovarian,0.9474388211190321,0.5744815469842641,-1.1362586075915981,0
MCL-1 inhibitor,STAT3 inhibitor,Caco-2,urinary tract,6.652833904337432,0.611006111532981,4.838250251308791,0
Proteasome inhibitor,Topoisomerase inhibitor,Caco-2,endometrium,0.18706048362472302,0.0013072086281407382,-7.497554425746058,0
MET inhibitor,PI3K inhibitor,COLO-829,head and neck,2.3232272893199766,4.0907610665774445,-9.299727701510893,0
Proteasome inhibitor,PROTAC degrader,NALM-6,soft tissue,1.3617023364623064,3.1461619497291666,1.6929752273589944,0
ATM inhibitor,BCL-2 inhibitor,JIMT-1,pancreas,0.9808986275250262,1.9741182238451738,-6.211209899729138,0
MEK inhibitor,KRAS inhibitor,PC-3,prostate,2.0032173348106554,2.774715964639595,2.4446570802939256,0
DNA-PKcs inhibitor,JAK inhibitor,Huh-7,endometrium,2.4338262852702486,0.32986383547325965,0.5590500055177312,0
NF-kappa-B inhibitor,HER2 inhibitor,A431,melanoma,0.008745632983492825,1.226172987650191,4.1851030557620685,0
IL-2 inhibitor,PI3K inhibitor,U251,endometrium,0.365330644742418,0.8653213169686854,-3.86609146364992,0
NF-kappa-B inhibitor,Microtubule stabilizer,MV4-11,melanoma,2.4968670625373326,0.19693868718841515,-0.07045240824048804,0
PDGFR inhibitor,BCL-2 inhibitor,PC-3,pancreas,2.1955377703349446,1.3315718160826022,-3.0271782878009397,0
CDK4/6 inhibitor,PI3K inhibitor,CCRF-CEM,colorectal,6.765585882081083,5.070034559411854,-0.5411695403718468,0
JAK inhibitor,BCL-2 inhibitor,KG-1,liver,2.862899715513481,0.08176715752199795,-3.25601640988394,0
FLT3 inhibitor,NF-kappa-B inhibitor,K562,soft tissue,6.022614176753758,0.6891001068077179,-7.170516303638878,0
IL-2 inhibitor,DNA-PKcs inhibitor,A431,urinary tract,2.4249544057541748,0.4652288581661595,-2.3815387599492865,0
EGFR inhibitor,Microtubule stabilizer,SK-MEL-2,liver,0.7077924980065297,0.5440024013938879,-2.071236978438365,0
CTLA-4 inhibitor,KRAS inhibitor,SK-MEL-2,colorectal,0.2226787564240718,4.781402564769317,2.159057723902416,0
BCL-2 inhibitor,MEK inhibitor,RS4-11,gastric,3.0449051522289614,1.2624831985153424,7.4015159602201415,1
HER2 inhibitor,ALK inhibitor,PC-3,stomach,2.06648759490405,1.255840591322481,-0.0431256408783387,0
MCL-1 inhibitor,ATM inhibitor,SUM-159,lung,0.09877130890308398,2.8590354938077303,6.83812889481815,1
FLT3 inhibitor,MEK inhibitor,A431,ovarian,0.8927319174155142,0.33563578022459695,0.8092443599557253,0
HER2 inhibitor,PD-L1 inhibitor,A431,gastric,6.283821025088229,1.3359936541809583,-2.4954226546822786,0
MEK inhibitor,STAT3 inhibitor,HeLa,esophageal,1.3878995879767009,1.1241859567029782,3.4114930415923883,0
STAT3 inhibitor,mTOR inhibitor,MDA-MB-453,lung,1.133836750145098,1.8171942600818132,3.7980640119581413,0
ALK inhibitor,mTOR inhibitor,SUM-159,urinary tract,1.2238703940999978,15.44705904412492,-9.172651140973219,0
PARP inhibitor,TNF-alpha inhibitor,CCRF-CEM,prostate,0.4686181185051916,2.934565446945547,2.309623405317181,0
PI3K inhibitor,mTOR inhibitor,NALM-6,liver,0.9199709051183403,1.0145495477286919,-9.43453914365994,0
HER2 inhibitor,PROTAC degrader,ZR-75-1,lung,0.9234781689040747,3.5153312784570154,-4.49245561457466,0
PARP inhibitor,IL-2 inhibitor,Huh-7,head and neck,0.10755068147219563,0.3743667847223361,-1.865500365683813,0
JAK inhibitor,Histone deacetylase inhibitor,A549,urinary tract,2.9183119432260995,0.061874697797474426,-7.778488020593088,0
MCL-1 inhibitor,Topoisomerase inhibitor,MEWO,liver,1.0774368453275396,0.45743906766189246,1.1947071885361513,0
Proteasome inhibitor,Topoisomerase inhibitor,Caco-2,renal,3.453965679565796,0.8322784166646167,-9.874679437417921,0
CDK4/6 inhibitor,TNF-alpha inhibitor,A2780,bone,3.7988853754777145,1.4290716202211209,-7.471014273489447,0
MEK inhibitor,mTOR inhibitor,MCF-7,head and neck,0.47649928870812497,1.9096948618814267,-1.288047552197865,0
PI3K inhibitor,PARP inhibitor,Huh-7,melanoma,2.142111846942619,4.829397099583864,0.7158134305593862,0
STAT3 inhibitor,TNF-alpha inhibitor,SUM-159,gastric,1.2783857155214864,1.4261039851194754,3.749646540408742,0
HER2 inhibitor,FLT3 inhibitor,A431,liver,4.24314107860472,1.3914034597919054,10.689214058447163,1
CTLA-4 inhibitor,HER2 inhibitor,KG-1,endometrium,0.48603109393259447,0.10309825384713728,0.07668905382298874,0
TNF-alpha inhibitor,FLT3 inhibitor,MOLT-4,endometrium,2.2652475567668895,0.07107105312942996,-4.084882804740035,0
IL-2 inhibitor,HER2 inhibitor,CCRF-CEM,liver,1.8717225956861803,1.6021774346729378,-9.980733617097979,0
FLT3 inhibitor,Microtubule stabilizer,Huh-7,head and neck,0.699970390780318,1.1531425935417963,-8.197611118965671,0
CTLA-4 inhibitor,Histone deacetylase inhibitor,A431,lung,0.2937564849613751,3.6549440158096265,-1.9816818286594131,0
Topoisomerase inhibitor,EGFR inhibitor,ZR-75-1,endometrium,2.1090363271708568,0.350325488009119,0.12694828766629485,0
NF-kappa-B inhibitor,EGFR inhibitor,A2780,pancreas,2.683387507570942,0.05057748782264078,-3.7382757415530623,0
Histone deacetylase inhibitor,Heat shock protein inhibitor,MDA-MB-231,soft tissue,0.7585053813203535,1.1921816630487554,5.491483903451771,1
STAT3 inhibitor,JAK inhibitor,K562,head and neck,2.0703321253609963,0.5422492972077465,-2.1720655700173186,0
FLT3 inhibitor,MCL-1 inhibitor,Huh-7,pancreas,1.005486441162735,0.10177490790139755,12.905136075336477,1
ATM inhibitor,JAK inhibitor,NALM-6,head and neck,2.497988341665501,2.579048944220171,-7.119756235480768,0
TNF-alpha inhibitor,Proteasome inhibitor,HL60,renal,0.444326251412142,0.23665061522230058,2.5999733486591445,0
PD-L1 inhibitor,PROTAC degrader,ZR-75-1,head and neck,4.418462790545983,1.8746176451331993,0.8736911993665917,0
MCL-1 inhibitor,PROTAC degrader,Caco-2,liver,0.6776969854692375,0.659926234422498,3.421429805187424,0
IL-2 inhibitor,ATM inhibitor,MCF-7,liver,0.9170546303766779,0.38110116594534493,12.48999017404957,1
ATM inhibitor,KRAS inhibitor,KG-1,melanoma,0.11969524568741217,0.9552702234893355,4.8533380192261095,0
Microtubule stabilizer,MCL-1 inhibitor,A2780,urinary tract,0.23646875271342271,3.233386097031657,-6.858899290750996,0
Proteasome inhibitor,NF-kappa-B inhibitor,SUM-159,prostate,1.4507701759768121,0.9954686364875107,-9.82330185570037,0
Histone deacetylase inhibitor,PI3K inhibitor,MOLT-4,endometrium,0.6228369344514492,2.7787554131839127,4.961344085803313,0
NF-kappa-B inhibitor,JAK inhibitor,NALM-6,breast,3.6094490154940124,0.2681746297822664,-5.783891718323303,0
NF-kappa-B inhibitor,PARP inhibitor,HeLa,endometrium,0.029604811388883413,2.9635976126377273,0.020291787688398344,0
NF-kappa-B inhibitor,ATM inhibitor,HL60,soft tissue,0.9531513113094143,0.5408197321442336,-7.349765287355422,0
PD-L1 inhibitor,ALK inhibitor,KG-1,gastric,0.823003222683286,2.2626416349021126,-1.296572017012874,0
MET inhibitor,BRAF inhibitor,Caco-2,soft tissue,0.03903370333975423,1.6684150833005236,13.071070203195127,1
JAK inhibitor,KRAS inhibitor,OVCAR-3,prostate,0.2656196466091774,5.294231505256959,10.232862493002498,1
IL-2 inhibitor,MET inhibitor,MV4-11,ovarian,1.067651810951491,0.9798332239331273,0.053809640665388514,0
PD-L1 inhibitor,CDK4/6 inhibitor,SK-MEL-2,prostate,1.357954438467984,0.13691143620456034,-7.1814461680237525,0
BRAF inhibitor,Proteasome inhibitor,HeLa,head and neck,1.0360017664794439,0.03868265794578303,-0.6280690192191205,0
Histone deacetylase inhibitor,CTLA-4 inhibitor,Caco-2,urinary tract,1.5140392750266451,3.5072929037568508,-4.953244722737348,0
PDGFR inhibitor,MEK inhibitor,MOLT-4,colorectal,1.8083867759270336,1.4877681549471213,8.083521216761987,1
MET inhibitor,BCL-2 inhibitor,OVCAR-3,endometrium,0.019946780916305435,2.98548028057035,-5.302269239445473,0
Microtubule stabilizer,CTLA-4 inhibitor,MDA-MB-453,stomach,1.2475973399332378,0.534257754488062,-7.317383972383009,0
BRAF inhibitor,Proteasome inhibitor,MOLT-4,endometrium,6.620844442019276,0.8464958145330455,3.528741617568242,0
CDK4/6 inhibitor,PD-L1 inhibitor,Caco-2,lung,1.4639102431696511,0.06113259594525442,5.363407483162424,1
FLT3 inhibitor,Heat shock protein inhibitor,MDA-MB-453,endometrium,2.263566426447793,6.513795391693862,-6.32081042538449,0
Microtubule stabilizer,MET inhibitor,PC-3,colorectal,0.7475371593797607,2.2044450356247736,12.284939338474402,1
mTOR inhibitor,Proteasome inhibitor,SK-MEL-2,gastric,2.974364261341995,5.412256730803273,-5.191957497902567,0
PROTAC degrader,Histone deacetylase inhibitor,HL60,melanoma,2.96491885297936,0.6171207844024639,1.166288807199889,0
BCL-2 inhibitor,IL-2 inhibitor,MDA-MB-453,melanoma,1.4733458524055132,1.890736897523789,4.5682986782824155,0
FLT3 inhibitor,Histone deacetylase inhibitor,RS4-11,liver,7.460555169071689,2.2695152733625146,12.254681684501628,1
EGFR inhibitor,PARP inhibitor,CCRF-CEM,melanoma,0.2683208145687498,0.764131150929663,2.915500999583605,0
EGFR inhibitor,IL-2 inhibitor,SW480,head and neck,0.0341858401169344,3.7691873358163903,-1.5120538966057069,0
BRAF inhibitor,Microtubule stabilizer,MV4-11,bone,2.9407281679195654,5.881028970363017,-7.641465023586498,0
Heat shock protein inhibitor,STAT3 inhibitor,A431,renal,3.2917426161318923,4.323128194874784,0.35934113122012334,0
KRAS inhibitor,mTOR inhibitor,SUM-159,renal,0.2561377737569413,2.6869830347693426,-2.298482543112698,0
PI3K inhibitor,TNF-alpha inhibitor,HL60,pancreas,0.6173561286960697,0.6499779479932112,-0.2409021512184477,0
PDGFR inhibitor,JAK inhibitor,A2780,soft tissue,0.035416465412930004,0.6615021851373677,3.345311188574975,0
Proteasome inhibitor,BCL-2 inhibitor,HL60,soft tissue,0.6943224317033132,6.613246970024861,-3.3934814401593085,0
MET inhibitor,Proteasome inhibitor,KG-1,bone,2.966860904256224,0.020675493568156903,3.5176643482603343,0
NF-kappa-B inhibitor,HER2 inhibitor,MDA-MB-453,breast,1.45945855114414,2.5179140368486164,1.260035214224823,0
PDGFR inhibitor,BRAF inhibitor,MDA-MB-453,esophageal,0.8557146861866832,2.4500262999348728,-2.6709261118302283,0
MET inhibitor,FLT3 inhibitor,A375,stomach,0.9296001263187308,1.9493738632326567,-0.9516679651305449,0
FLT3 inhibitor,BCL-2 inhibitor,HeLa,bone,0.0027090853886956295,9.232228930835943,-5.116283012214828,0
CDK4/6 inhibitor,EGFR inhibitor,SUM-159,soft tissue,0.7127800478224141,0.7475824353715758,4.753959496081613,0
MEK inhibitor,JAK inhibitor,SW480,urinary tract,2.079510173121035,0.8309456285080682,0.01026744575593952,0
BRAF inhibitor,DNA-PKcs inhibitor,OVCAR-3,bone,7.314330908570359,0.16445890008982766,-9.342297212550552,0
TNF-alpha inhibitor,IL-2 inhibitor,HL60,stomach,3.7554299972493825,1.169655385519999,-5.100671413779868,0
Topoisomerase inhibitor,IL-2 inhibitor,MOLT-4,liver,0.047755566831033,0.6050460498382328,-0.650283493614138,0
Topoisomerase inhibitor,Microtubule stabilizer,A375,bone,4.576587498444518,0.841320043145463,-9.155000833011403,0
STAT3 inhibitor,PARP inhibitor,KG-1,head and neck,3.057545381420305,3.598435912507053,-9.641737130212858,0
Microtubule stabilizer,CTLA-4 inhibitor,KG-1,bone,3.031677696697999,5.4816999673019655,12.563560547436342,1
KRAS inhibitor,Proteasome inhibitor,OVCAR-3,stomach,1.224962905712892,0.4109340907290141,-5.00964730460995,0
EGFR inhibitor,NF-kappa-B inhibitor,Huh-7,stomach,1.0150132519903914,0.9320516832576722,-3.4255208795025114,0
CDK4/6 inhibitor,Topoisomerase inhibitor,MDA-MB-453,endometrium,0.7216979399646261,5.27977108420815,-6.059600351799922,0
FLT3 inhibitor,CTLA-4 inhibitor,MCF-7,urinary tract,0.13590438126854174,0.12760230226034266,-7.529233795855286,0
PARP inhibitor,Microtubule stabilizer,MDA-MB-453,gastric,0.518151300866055,0.19381607324077602,0.3371503547050647,0
Heat shock protein inhibitor,MEK inhibitor,ZR-75-1,lung,0.5663276170018666,0.3553630509121296,-2.281433255982993,0
EGFR inhibitor,PD-L1 inhibitor,U87,bone,1.323595769118734,1.8087877327407424,-6.9976868312594975,0
BRAF inhibitor,Proteasome inhibitor,K562,stomach,2.7522477652134314,0.3261493937121577,-5.206158606100026,0
EGFR inhibitor,CTLA-4 inhibitor,A549,pancreas,1.2841851772313098,6.888818299506755,-1.1228813850501105,0
KRAS inhibitor,Heat shock protein inhibitor,KG-1,prostate,0.11916978012496816,1.1837623701721773,-8.916559775912832,0
IL-2 inhibitor,Microtubule stabilizer,HeLa,prostate,6.330186808793513,1.3923754380319784,-7.788204861007307,0
CTLA-4 inhibitor,PROTAC degrader,MOLT-4,stomach,5.719758324704087,0.5664735769140938,-8.901315938389148,0
EGFR inhibitor,PDGFR inhibitor,HepG2,prostate,3.0759984714558355,1.2733834255441538,2.1847599907117825,0
BRAF inhibitor,EGFR inhibitor,Caco-2,soft tissue,9.495288966719887,2.168907782794871,1.2861384981801383,0
KRAS inhibitor,IL-2 inhibitor,MCF-7,esophageal,1.5726415532925795,2.7820280581350167,1.2996939781888557,0
Proteasome inhibitor,Topoisomerase inhibitor,MDA-MB-453,liver,6.5811921595658,2.8037752752665432,0.7448801521404214,0
Topoisomerase inhibitor,CTLA-4 inhibitor,MV4-11,esophageal,0.15723170689833965,1.7249839428761053,0.04078135504803804,0
CTLA-4 inhibitor,mTOR inhibitor,ZR-75-1,colorectal,0.9104057992925537,4.694323567516814,-2.8451212693273753,0
PDGFR inhibitor,IL-2 inhibitor,SW480,soft tissue,0.5107686587971821,3.401000574268329,-0.36582754739327505,0
Heat shock protein inhibitor,NF-kappa-B inhibitor,JIMT-1,endometrium,0.4358968491046164,2.829783716243495,10.722838145420011,1
MET inhibitor,PD-L1 inhibitor,K562,renal,0.30351397474217,0.11442264109641366,-0.6780336601482304,0
IL-2 inhibitor,MCL-1 inhibitor,K562,breast,1.9479119447839621,0.013803448842989535,1.6681655830531579,0
IL-2 inhibitor,Proteasome inhibitor,MCF-7,liver,3.0403085822463196,0.4776499218606454,-2.494624594234147,0
Proteasome inhibitor,ALK inhibitor,U87,melanoma,1.7269146453916535,2.1784544959946626,-4.637300073591446,0
PI3K inhibitor,EGFR inhibitor,RS4-11,urinary tract,0.3179040313356503,1.0593288935422118,-5.838598977985313,0
NF-kappa-B inhibitor,PROTAC degrader,HepG2,lung,3.3333266916293085,1.029688238560299,-0.3579692475687626,0
PD-L1 inhibitor,IL-2 inhibitor,SK-MEL-2,lung,2.020953976434794,4.318474622336869,0.3920179794486316,0
PROTAC degrader,Histone deacetylase inhibitor,A549,prostate,0.9825875895555617,4.518339612061791,3.064513997938139,0
PDGFR inhibitor,Topoisomerase inhibitor,A2780,esophageal,2.242515314134136,4.797647216315546,-4.864988763085139,0
BCL-2 inhibitor,KRAS inhibitor,MEWO,melanoma,0.6019533891974342,0.7533998720417655,1.5465846107837837,0
DNA-PKcs inhibitor,NF-kappa-B inhibitor,MDA-MB-453,esophageal,0.8468270689879257,2.349189284300964,-1.579662637159931,0
JAK inhibitor,PI3K inhibitor,CCRF-CEM,melanoma,4.989570803925409,0.6339009716207856,3.242547360171187,0
HER2 inhibitor,PDGFR inhibitor,MDA-MB-231,melanoma,0.686402265780928,0.42294839042242716,-2.0828183755656884,0
STAT3 inhibitor,Histone deacetylase inhibitor,HepG2,pancreas,1.2697122742597884,0.4082325896378623,-2.235552574030492,0
KRAS inhibitor,BCL-2 inhibitor,A2780,endometrium,4.417117608523501,0.837427837154539,-1.3318437783863644,0
Topoisomerase inhibitor,PDGFR inhibitor,MDA-MB-453,renal,2.4600953036874644,1.1240891393079775,1.2397303271365168,0
PDGFR inhibitor,PARP inhibitor,MEWO,pancreas,0.1284440249481455,3.5551116925828463,4.470357182426914,0
PD-L1 inhibitor,Proteasome inhibitor,KG-1,lung,0.31870212680931154,0.2554192434996594,-8.896549686763516,0
IL-2 inhibitor,STAT3 inhibitor,PC-3,breast,0.01574499544794723,2.6554913419744177,10.275796224253504,1
mTOR inhibitor,CDK4/6 inhibitor,Huh-7,colorectal,1.993493413602983,1.5162458950921394,4.063255061110077,0
JAK inhibitor,Histone deacetylase inhibitor,PC-3,endometrium,1.1872315740204675,0.6792012092240152,-2.051865617226908,0
HER2 inhibitor,BCL-2 inhibitor,HL60,breast,0.288375601180207,1.3577769792850536,-0.7764547814959588,0
PD-L1 inhibitor,MEK inhibitor,A2780,breast,6.337036686630444,0.7131843798030919,-2.763645976079067,0
PDGFR inhibitor,DNA-PKcs inhibitor,MOLT-4,esophageal,1.5085977092569254,1.813086562201032,-8.595138210887882,0
Heat shock protein inhibitor,Histone deacetylase inhibitor,SUM-159,gastric,0.5538622606184095,1.1377709682391448,1.5213406762799977,0
PROTAC degrader,HER2 inhibitor,MDA-MB-453,esophageal,1.3887101041050312,0.3592237324366271,1.2083696763288039,0
PARP inhibitor,PI3K inhibitor,A431,prostate,2.2764970525465125,0.24791604113780458,8.517098179588082,1
NF-kappa-B inhibitor,EGFR inhibitor,OVCAR-3,stomach,0.15860426954010162,1.5823831910788086,-5.406411321573994,0
MEK inhibitor,MET inhibitor,HeLa,ovarian,0.6423503531701857,4.6540226644950105,2.5676207135827784,0
PI3K inhibitor,PD-L1 inhibitor,SW480,pancreas,3.289772604701704,0.8430599798391506,-8.914641133880101,0
PD-L1 inhibitor,MCL-1 inhibitor,RS4-11,stomach,1.2311314431146945,2.641014044329653,3.2165772253484874,0
STAT3 inhibitor,IL-2 inhibitor,HepG2,breast,1.581860255211607,2.1497604009439484,-6.150074651561283,0
Histone deacetylase inhibitor,HER2 inhibitor,K562,prostate,1.1341430336046225,5.363447047947478,-1.1052287836675916,0
ATM inhibitor,IL-2 inhibitor,Huh-7,breast,0.08978541780031406,3.440526860311973,10.618769562415132,1
ALK inhibitor,PARP inhibitor,A2780,colorectal,0.3624437948503873,1.6722126480448016,0.17183752304969602,0
NF-kappa-B inhibitor,MEK inhibitor,MOLT-4,pancreas,1.1795271348445522,2.140227503807789,-3.7835528129944516,0
NF-kappa-B inhibitor,IL-2 inhibitor,MOLT-4,prostate,0.469383616498048,4.573157099590866,0.343013133581227,0
CDK4/6 inhibitor,FLT3 inhibitor,NALM-6,liver,0.10254243907225369,1.0200478390565761,-4.840305455254447,0
CDK4/6 inhibitor,FLT3 inhibitor,RS4-11,esophageal,3.7113120927748615,0.7914099051033852,-5.841123754762208,0
DNA-PKcs inhibitor,BCL-2 inhibitor,Caco-2,stomach,7.947002206390479,0.02173989608602943,4.950249169020196,0
STAT3 inhibitor,CDK4/6 inhibitor,CCRF-CEM,breast,3.151453873135485,3.5037441973511543,1.261853467696815,0
STAT3 inhibitor,PROTAC degrader,COLO-829,head and neck,3.8453532045389562,3.228706952125036,-0.3292003392727363,0
mTOR inhibitor,PI3K inhibitor,A549,soft tissue,0.5540834454184227,0.2206445387597513,-4.670655351710218,0
Proteasome inhibitor,MET inhibitor,U251,colorectal,6.469348709717576,1.7200919926377591,9.593460101728226,1
Topoisomerase inhibitor,KRAS inhibitor,A549,gastric,0.43861609368275645,1.247173946566477,-9.534146859472665,0
