drugA,drugB,cell_line,tissue,sensitivity_A,sensitivity_B,loewe_score,synergy_label,drug_pair_hash,tissue_synergy_rate,sensitivity_diff,sensitivity_product
atm inhibitor,nf-kappa-b inhibitor,a375,urinary tract,0.5124417419455772,4.405829067747561,-4.947284478292709,0,2098575145689511190,0.1,3.8933873258019838,2.257730722191019
her2 inhibitor,flt3 inhibitor,u87,melanoma,2.045948923943089,0.9287343284015576,-1.4577641779511232,0,3597773546648716334,0.12903225806451613,1.1172145955415314,1.900142999822174
flt3 inhibitor,pdgfr inhibitor,mewo,bone,7.724667935952644,0.434239753297026,2.916702800921384,0,567751215809173253,0.10416666666666667,7.290428182655617,3.354357898809523
microtubule stabilizer,proteasome inhibitor,nalm-6,soft tissue,1.850123651620192,1.3443083178799513,-8.8249267335699,0,8793079300723793225,0.13636363636363635,0.5058153337402407,2.4871366139794535
egfr inhibitor,proteasome inhibitor,huh-7,prostate,0.8857548572133683,2.70681387452814,-8.911378029329338,0,6452407446783628404,0.14516129032258066,1.8210590173147718,2.397573536935837
parp inhibitor,mek inhibitor,nalm-6,esophageal,2.087211236950968,1.3567893546702774,2.754765622363984,0,-3006629037756849171,0.045454545454545456,0.7304218822806907,2.8319059872432555
atm inhibitor,parp inhibitor,pc-3,endometrium,0.2623156885046213,1.3201245960149812,-6.807248709424639,0,-2985394327411890286,0.08196721311475409,1.0578089075103598,0.34628939231555483
mek inhibitor,parp inhibitor,zr-75-1,stomach,4.390316871332613,3.64316461721973,0.0312988167472063,0,-2674284442018735509,0.06557377049180328,0.7471522541128826,15.9946470840218
microtubule stabilizer,egfr inhibitor,sum-159,ovarian,1.3986683644064692,0.8969658329129896,-1.856828014587922,0,412103285866952008,0.13793103448275862,0.5017025314934797,1.2545577344488976
cdk4/6 inhibitor,heat shock protein inhibitor,a549,breast,1.1933108238122037,3.929294644608885,5.800634025289656,1,1387020180298220858,0.2318840579710145,2.7359838207966813,4.688869829359109
stat3 inhibitor,mcl-1 inhibitor,mda-mb-231,urinary tract,1.7631255210799208,1.0444635241230027,-8.123666352453947,0,-2057733557587640959,0.1,0.7186619969569181,1.8415202952183396
alk inhibitor,cdk4/6 inhibitor,kg-1,breast,1.960506106303654,0.7956877641737563,-8.053255514160831,0,-8946534629438407911,0.2318840579710145,1.1648183421298977,1.559950720373751
mek inhibitor,braf inhibitor,mv4-11,liver,0.1489639745113299,1.2102356515034258,5.847661544263332,1,3227146496770756007,0.1527777777777778,1.061271676992096,0.18028151274325904
nf-kappa-b inhibitor,parp inhibitor,caco-2,ovarian,2.29529345904876,2.874728697094012,4.195679800375563,0,-3579876583832557956,0.13793103448275862,0.5794352380452521,6.59834597497965
atm inhibitor,cdk4/6 inhibitor,ccrf-cem,liver,0.5539635317830209,0.2693544470796261,-3.775033624438686,0,2223317113779154878,0.1527777777777778,0.28460908470339485,0.14921254080569246
braf inhibitor,kras inhibitor,caco-2,urinary tract,2.503195722539067,0.4373551171244483,-5.095868496179576,0,3872525099843914338,0.1,2.0658406054146186,1.0947854584164918
cdk4/6 inhibitor,stat3 inhibitor,mcf-7,endometrium,3.457961427963438,6.050109024877095,-0.8996601520317125,0,-4394806736311684490,0.08196721311475409,2.592147596913657,20.921043642998484
proteasome inhibitor,stat3 inhibitor,molt-4,ovarian,3.2588578919909588,0.3859359645019424,3.9567290081754662,0,-2638486873236116965,0.13793103448275862,2.8729219274890165,1.2577104637202976
parp inhibitor,heat shock protein inhibitor,hela,endometrium,1.608161806149805,1.6773973627467769,2.553917492669356,0,4897545759929515210,0.08196721311475409,0.06923555659697178,2.6975263725057763
jak inhibitor,histone deacetylase inhibitor,hepg2,urinary tract,1.4686463600932604,1.731739352196458,4.932254160998298,0,-3631062609105018965,0.1,0.2630929921031975,2.543312696233589
cdk4/6 inhibitor,bcl-2 inhibitor,sum-159,esophageal,0.3083452699285018,1.345216950629064,-9.661471251964343,0,-2957327782559914039,0.045454545454545456,1.0368716807005622,0.41479128375411484
histone deacetylase inhibitor,tnf-alpha inhibitor,mewo,liver,2.9863890152748565,2.0698402744452835,-8.307127829308566,0,-1490529740305826145,0.1527777777777778,0.9165487408295729,6.181348258976889
bcl-2 inhibitor,il-2 inhibitor,sum-159,endometrium,0.633286538217213,0.5222795160370358,-0.8579835495006698,0,-7027982604898141310,0.08196721311475409,0.11100702218017722,0.3307525866928558
heat shock protein inhibitor,topoisomerase inhibitor,mcf-7,breast,1.3731195417994453,1.6088828331658973,2.3086465900077453,0,-7394364359940760618,0.2318840579710145,0.23576329136645202,2.2091884586857504
heat shock protein inhibitor,il-2 inhibitor,rs4-11,ovarian,0.6689159933274842,0.9309820694561636,-5.721334865398502,0,-8676669299939504909,0.13793103448275862,0.2620660761286794,0.6227487957603466
pi3k inhibitor,kras inhibitor,mda-mb-453,soft tissue,0.2873443898145923,2.167450857548966,-6.411833679486719,0,-6916454342979786186,0.13636363636363635,1.880106467734374,0.6228048441155225
nf-kappa-b inhibitor,atm inhibitor,a2780,stomach,1.9861151469518448,0.3044932552420914,1.8046369907180129,0,964660430433634265,0.06557377049180328,1.6816218917097534,0.604758666380992
nf-kappa-b inhibitor,ctla-4 inhibitor,zr-75-1,prostate,0.1117275194518327,1.6920253184751255,-9.154272192201526,0,-3564981128800359472,0.14516129032258066,1.5802977990232927,0.189045791682923
tnf-alpha inhibitor,mek inhibitor,hepg2,gastric,2.761779855836161,0.4097978903413981,-4.459260286261223,0,7075452425573426101,0.05172413793103448,2.3519819654947627,1.131771558509029
il-2 inhibitor,mtor inhibitor,u251,renal,0.7642398651077931,0.6532424122102826,-2.4128616611150537,0,-64315177024414556,0.0851063829787234,0.1109974528975105,0.4992338929902757
stat3 inhibitor,protac degrader,a549,lung,0.0002694041528053,0.4936172473390111,-1.5947698847451477,0,307727196653390882,0.2826086956521739,0.4933478431862058,0.0001329825363294505
stat3 inhibitor,pdgfr inhibitor,kg-1,renal,1.4313138256088904,0.4038352959592348,0.9292273518916528,0,8425234672584814032,0.0851063829787234,1.0274785296496556,0.5780150423753109
il-2 inhibitor,alk inhibitor,hl60,ovarian,0.0959699847225043,3.494080320207032,-4.677314148540127,0,-540003624548025639,0.13793103448275862,3.3981103354845277,0.3353268349494718
stat3 inhibitor,nf-kappa-b inhibitor,u251,esophageal,0.6463962198195594,0.6729256627813774,-0.8097348298808917,0,6617490699695414930,0.045454545454545456,0.02652944296181803,0.434976604641454
protac degrader,mek inhibitor,ccrf-cem,renal,2.4550048511866462,5.237985838081075,-1.2193686581356555,0,-2047697978384539556,0.0851063829787234,2.7829809868944286,12.859280642935989
cdk4/6 inhibitor,alk inhibitor,colo-829,ovarian,0.1294816093176535,7.008223472904364,-1.7857584901937926,0,436370451778293388,0.13793103448275862,6.87874186358671,0.9074360537294117
topoisomerase inhibitor,mcl-1 inhibitor,u87,breast,3.6569111284295728,1.6938114009570275,8.653668415506528,1,1120392983093251045,0.2318840579710145,1.9630997274725452,6.194117761620639
dna-pkcs inhibitor,mek inhibitor,sw480,liver,0.0076544743927921,0.3086373407604572,-6.108262433978855,0,-8232469420681868004,0.1527777777777778,0.3009828663676651,0.002362456621510369
histone deacetylase inhibitor,mcl-1 inhibitor,mda-mb-453,renal,0.566912346182991,0.938562159509663,-8.730268696230565,0,7808360846934929011,0.0851063829787234,0.371649813326672,0.5320824758861977
egfr inhibitor,stat3 inhibitor,mewo,prostate,2.7011136926222084,3.1963260604345747,-8.210924919403848,0,3871307304409971967,0.14516129032258066,0.4952123678123663,8.63364008792503
kras inhibitor,il-2 inhibitor,k562,breast,0.7603847902394995,0.9158046246973368,-6.631264260191484,0,4009903058522937231,0.2318840579710145,0.15541983445783736,0.696363907450848
protac degrader,heat shock protein inhibitor,mcf-7,stomach,0.214930765487587,0.1820765152084031,5.09098181280776,1,4554098167347734809,0.06557377049180328,0.0328542502791839,0.039133844791054355
pdgfr inhibitor,protac degrader,a2780,breast,0.893305335129616,1.6274001967779157,2.6066412581903027,0,-2625688105469045627,0.2318840579710145,0.7340948616482997,1.4537652781726988
atm inhibitor,mek inhibitor,zr-75-1,ovarian,0.6304992769775121,3.730220306496266,0.5194001313257619,0,-8004506976129771484,0.13793103448275862,3.099721029518754,2.351901206212729
met inhibitor,dna-pkcs inhibitor,mv4-11,pancreas,3.6993522742740574,3.17854900578378,1.835609063030708,0,2037578599184948707,0.09259259259259259,0.5208032684902775,11.75857249343777
pdgfr inhibitor,histone deacetylase inhibitor,huh-7,urinary tract,0.7518550905876795,0.385042329104034,-4.735365641108629,0,5248536309166475394,0.1,0.3668127614836455,0.2894960352286046
mcl-1 inhibitor,alk inhibitor,pc-3,breast,3.1111543154627013,2.2341510668796167,-3.930193875271748,0,9140446211251628235,0.2318840579710145,0.8770032485830845,6.9507887331181175
her2 inhibitor,braf inhibitor,mv4-11,bone,4.448881815408057,0.4982161198969156,-4.094771710140808,0,3272319415967494203,0.10416666666666667,3.950665695511141,2.216504635952548
histone deacetylase inhibitor,microtubule stabilizer,a431,pancreas,1.137677345086593,0.4923319262234886,-7.121902233932477,0,-1760551731529098494,0.09259259259259259,0.6453454188631043,0.5601148787273068
nf-kappa-b inhibitor,il-2 inhibitor,sum-159,renal,4.814628146322393,4.144086327474716,-9.08175012784642,0,637197666528507927,0.0851063829787234,0.6705418188476768,19.952234673049567
ctla-4 inhibitor,nf-kappa-b inhibitor,hela,ovarian,0.947438821119032,0.5744815469842641,-1.136258607591598,0,-4696810533953399170,0.13793103448275862,0.37295727413476787,0.544286119629409
mcl-1 inhibitor,stat3 inhibitor,caco-2,urinary tract,6.652833904337432,0.611006111532981,4.838250251308791,0,-7310420995352467769,0.1,6.041827792804451,4.0649221745639945
proteasome inhibitor,topoisomerase inhibitor,caco-2,endometrium,0.187060483624723,0.0013072086281407,-7.497554425746058,0,6831107951308322112,0.08196721311475409,0.18575327499658228,0.00024452707817841006
met inhibitor,pi3k inhibitor,colo-829,head and neck,2.323227289319977,4.0907610665774445,-9.299727701510893,0,-8812412845277125789,0.11864406779661017,1.7675337772574675,9.503767743960415
proteasome inhibitor,protac degrader,nalm-6,soft tissue,1.3617023364623064,3.146161949729166,1.6929752273589944,0,-1819077216505216800,0.13636363636363635,1.7844596132668598,4.2841360778350115
atm inhibitor,bcl-2 inhibitor,jimt-1,pancreas,0.9808986275250262,1.9741182238451735,-6.211209899729138,0,7497307094351342546,0.09259259259259259,0.9932195963201473,1.9364098563418732
mek inhibitor,kras inhibitor,pc-3,prostate,2.0032173348106554,2.774715964639595,2.4446570802939256,0,-4888556487811639762,0.14516129032258066,0.7714986298289395,5.558359119541906
dna-pkcs inhibitor,jak inhibitor,huh-7,endometrium,2.4338262852702486,0.3298638354732596,0.5590500055177312,0,2663012114401243392,0.08196721311475409,2.103962449796989,0.8028312733348798
nf-kappa-b inhibitor,her2 inhibitor,a431,melanoma,0.0087456329834928,1.226172987650191,4.1851030557620685,0,5586443705265400387,0.12903225806451613,1.2174273546666983,0.010723658924261421
il-2 inhibitor,pi3k inhibitor,u251,endometrium,0.365330644742418,0.8653213169686854,-3.86609146364992,0,4556407194466610458,0.08196721311475409,0.4999906722262674,0.31612839463752807
nf-kappa-b inhibitor,microtubule stabilizer,mv4-11,melanoma,2.4968670625373326,0.1969386871884151,-0.070452408240488,0,2328356325439956128,0.12903225806451613,2.2999283753489177,0.49172972138009663
pdgfr inhibitor,bcl-2 inhibitor,pc-3,pancreas,2.195537770334945,1.3315718160826022,-3.02717828780094,0,-81378968910320177,0.09259259259259259,0.8639659542523428,2.92351621612285
cdk4/6 inhibitor,pi3k inhibitor,ccrf-cem,colorectal,6.765585882081083,5.070034559411854,-0.5411695403718468,0,-5377186583845626975,0.23529411764705882,1.6955513226692283,34.301754236820024
jak inhibitor,bcl-2 inhibitor,kg-1,liver,2.862899715513481,0.0817671575219979,-3.25601640988394,0,-7868892756168205296,0.1527777777777778,2.781132557991483,0.23409117200807378
flt3 inhibitor,nf-kappa-b inhibitor,k562,soft tissue,6.022614176753758,0.6891001068077179,-7.170516303638878,0,-5124606896981800877,0.13636363636363635,5.33351406994604,4.150184072462691
il-2 inhibitor,dna-pkcs inhibitor,a431,urinary tract,2.4249544057541748,0.4652288581661595,-2.3815387599492865,0,8393539498847830022,0.1,1.9597255475880153,1.1281587692940125
egfr inhibitor,microtubule stabilizer,sk-mel-2,liver,0.7077924980065297,0.5440024013938879,-2.071236978438365,0,-1394551255526454349,0.1527777777777778,0.16379009661264177,0.38504081860413075
ctla-4 inhibitor,kras inhibitor,sk-mel-2,colorectal,0.2226787564240718,4.781402564769317,2.159057723902416,0,6919963665557819554,0.23529411764705882,4.558723808345245,1.064716777085699
bcl-2 inhibitor,mek inhibitor,rs4-11,gastric,3.0449051522289614,1.2624831985153424,7.401515960220141,1,-8674786009010338468,0.05172413793103448,1.782421953713619,3.8441415957618648
her2 inhibitor,alk inhibitor,pc-3,stomach,2.06648759490405,1.255840591322481,-0.0431256408783387,0,3958381320506619938,0.06557377049180328,0.8106470035815689,2.5951790031448736
mcl-1 inhibitor,atm inhibitor,sum-159,lung,0.0987713089030839,2.8590354938077303,6.83812889481815,1,-12554883350385595,0.2826086956521739,2.7602641849046465,0.2823906779237643
flt3 inhibitor,mek inhibitor,a431,ovarian,0.8927319174155142,0.3356357802245969,0.8092443599557253,0,-2495997444918974211,0.13793103448275862,0.5570961371909173,0.2996327736331565
her2 inhibitor,pd-l1 inhibitor,a431,gastric,6.283821025088229,1.3359936541809585,-2.495422654682278,0,8532789876860043377,0.05172413793103448,4.94782737090727,8.39514501352676
mek inhibitor,stat3 inhibitor,hela,esophageal,1.3878995879767009,1.1241859567029782,3.4114930415923883,0,1925527756508409684,0.045454545454545456,0.2637136312737227,1.5602572261172567
stat3 inhibitor,mtor inhibitor,mda-mb-453,lung,1.133836750145098,1.8171942600818127,3.798064011958141,0,1520178471209942808,0.2826086956521739,0.6833575099367146,2.0604016342334885
alk inhibitor,mtor inhibitor,sum-159,urinary tract,1.2238703940999978,15.44705904412492,-9.17265114097322,0,1772112820640991606,0.1,14.223188650024923,18.9051982400191
parp inhibitor,tnf-alpha inhibitor,ccrf-cem,prostate,0.4686181185051916,2.934565446945547,2.309623405317181,0,-5646022551013562861,0.14516129032258066,2.4659473284403552,1.3751905383779688
pi3k inhibitor,mtor inhibitor,nalm-6,liver,0.9199709051183405,1.014549547728692,-9.43453914365994,0,-4480345113186143183,0.1527777777777778,0.09457864261035165,0.9333560657113679
her2 inhibitor,protac degrader,zr-75-1,lung,0.9234781689040747,3.5153312784570154,-4.49245561457466,0,-2080560024999707847,0.2826086956521739,2.5918531095529405,3.246331692120705
parp inhibitor,il-2 inhibitor,huh-7,head and neck,0.1075506814721956,0.3743667847223361,-1.865500365683813,0,7569612642870353690,0.11864406779661017,0.2668161032501405,0.04026340281744199
jak inhibitor,histone deacetylase inhibitor,a549,urinary tract,2.9183119432260995,0.0618746977974744,-7.778488020593088,0,-3631062609105018965,0.1,2.856437245428625,0.18056966956587517
mcl-1 inhibitor,topoisomerase inhibitor,mewo,liver,1.0774368453275396,0.4574390676618924,1.194707188536151,0,2833266058057307455,0.1527777777777778,0.6199977776656471,0.49286170599120027
proteasome inhibitor,topoisomerase inhibitor,caco-2,renal,3.453965679565796,0.8322784166646167,-9.87467943741792,0,6831107951308322112,0.0851063829787234,2.621687262901179,2.874661087002947
cdk4/6 inhibitor,tnf-alpha inhibitor,a2780,bone,3.7988853754777145,1.4290716202211209,-7.471014273489447,0,-7551852903737892133,0.10416666666666667,2.369813755256594,5.4288792785682585
mek inhibitor,mtor inhibitor,mcf-7,head and neck,0.4764992887081249,1.909694861881427,-1.288047552197865,0,-7079065686050847407,0.11864406779661017,1.433195573173302,0.9099682433360607
pi3k inhibitor,parp inhibitor,huh-7,melanoma,2.142111846942619,4.829397099583864,0.7158134305593862,0,1554449033385850301,0.12903225806451613,2.687285252641245,10.345108740608918
stat3 inhibitor,tnf-alpha inhibitor,sum-159,gastric,1.2783857155214864,1.4261039851194754,3.749646540408742,0,-3235655416759560238,0.05172413793103448,0.14771826959798906,1.8231109634250038
her2 inhibitor,flt3 inhibitor,a431,liver,4.24314107860472,1.3914034597919054,10.689214058447163,1,3597773546648716334,0.1527777777777778,2.8517376188128143,5.903921177155764
ctla-4 inhibitor,her2 inhibitor,kg-1,endometrium,0.4860310939325944,0.1030982538471372,0.0766890538229887,0,833098021563809516,0.08196721311475409,0.38293284008545725,0.050108957099864404
tnf-alpha inhibitor,flt3 inhibitor,molt-4,endometrium,2.265247556766889,0.0710710531294299,-4.084882804740035,0,5374367752692487795,0.08196721311475409,2.194176503637459,0.16099352945829085
il-2 inhibitor,her2 inhibitor,ccrf-cem,liver,1.8717225956861805,1.6021774346729378,-9.98073361709798,0,5929744629963667168,0.1527777777777778,0.26954516101324266,2.998831706775857
flt3 inhibitor,microtubule stabilizer,huh-7,head and neck,0.699970390780318,1.1531425935417965,-8.197611118965671,0,6482588003785743339,0.11864406779661017,0.4531722027614785,0.8071656718268807
ctla-4 inhibitor,histone deacetylase inhibitor,a431,lung,0.2937564849613751,3.6549440158096265,-1.981681828659413,0,2797541958638100823,0.2826086956521739,3.3611875308482513,1.0736635068148483
topoisomerase inhibitor,egfr inhibitor,zr-75-1,endometrium,2.1090363271708568,0.350325488009119,0.1269482876662948,0,6559156723679397559,0.08196721311475409,1.7587108391617376,0.7388491805450904
nf-kappa-b inhibitor,egfr inhibitor,a2780,pancreas,2.683387507570942,0.0505774878226407,-3.7382757415530623,0,1659150438806862319,0.09259259259259259,2.6328100197483013,0.1357189989875955
histone deacetylase inhibitor,heat shock protein inhibitor,mda-mb-231,soft tissue,0.7585053813203535,1.1921816630487554,5.491483903451771,1,5990970410174428550,0.13636363636363635,0.4336762817284019,0.9042762069339294
stat3 inhibitor,jak inhibitor,k562,head and neck,2.0703321253609963,0.5422492972077465,-2.1720655700173186,0,-7291463223044013638,0.11864406779661017,1.52808282815325,1.1226361399636204
flt3 inhibitor,mcl-1 inhibitor,huh-7,pancreas,1.005486441162735,0.1017749079013975,12.905136075336475,1,6628405695423953853,0.09259259259259259,0.9037115332613374,0.10233328994544127
atm inhibitor,jak inhibitor,nalm-6,head and neck,2.497988341665501,2.579048944220171,-7.119756235480768,0,4208847397668606385,0.11864406779661017,0.08106060255467007,6.442434195246707
tnf-alpha inhibitor,proteasome inhibitor,hl60,renal,0.444326251412142,0.2366506152223005,2.5999733486591445,0,6687699755774314475,0.0851063829787234,0.2076756361898415,0.10515008075610197
pd-l1 inhibitor,protac degrader,zr-75-1,head and neck,4.418462790545983,1.8746176451331995,0.8736911993665917,0,5513787707595715166,0.11864406779661017,2.5438451454127837,8.282928311521976
mcl-1 inhibitor,protac degrader,caco-2,liver,0.6776969854692375,0.659926234422498,3.421429805187424,0,-4198092253679702471,0.1527777777777778,0.01777075104673953,0.4472300197001922
il-2 inhibitor,atm inhibitor,mcf-7,liver,0.917054630376678,0.3811011659453449,12.48999017404957,1,-4208327255422209313,0.1527777777777778,0.5359534644313331,0.34949058887212925
atm inhibitor,kras inhibitor,kg-1,melanoma,0.1196952456874121,0.9552702234893355,4.8533380192261095,0,-5124618463254357518,0.12903225806451613,0.8355749778019235,0.11434130409842509
microtubule stabilizer,mcl-1 inhibitor,a2780,urinary tract,0.2364687527134227,3.233386097031657,-6.858899290750996,0,-812075213667993728,0.1,2.996917344318234,0.7645947774059978
proteasome inhibitor,nf-kappa-b inhibitor,sum-159,prostate,1.450770175976812,0.9954686364875108,-9.82330185570037,0,698635169462751731,0.14516129032258066,0.4553015394893011,1.4441962089363831
histone deacetylase inhibitor,pi3k inhibitor,molt-4,endometrium,0.6228369344514492,2.7787554131839127,4.961344085803313,0,2753824590555022040,0.08196721311475409,2.1559184787324637,1.7307115031378382
nf-kappa-b inhibitor,jak inhibitor,nalm-6,breast,3.609449015494013,0.2681746297822664,-5.783891718323303,0,-6251549907344130856,0.2318840579710145,3.3412743857117464,0.9679626534480729
nf-kappa-b inhibitor,parp inhibitor,hela,endometrium,0.0296048113888834,2.9635976126377277,0.0202917876883983,0,-3579876583832557956,0.08196721311475409,2.933992801248844,0.08773674835468505
nf-kappa-b inhibitor,atm inhibitor,hl60,soft tissue,0.9531513113094144,0.5408197321442336,-7.349765287355422,0,964660430433634265,0.13636363636363635,0.4123315791651808,0.5154830368752825
pd-l1 inhibitor,alk inhibitor,kg-1,gastric,0.823003222683286,2.262641634902113,-1.296572017012874,0,8381311041199819742,0.05172413793103448,1.439638412218827,1.8621613573018179
met inhibitor,braf inhibitor,caco-2,soft tissue,0.0390337033397542,1.6684150833005236,13.071070203195127,1,-8734731535054027417,0.13636363636363635,1.6293813799607695,0.06512441940912393
jak inhibitor,kras inhibitor,ovcar-3,prostate,0.2656196466091774,5.294231505256959,10.232862493002498,1,-6685300906024688868,0.14516129032258066,5.028611858647781,1.4062519014935269
il-2 inhibitor,met inhibitor,mv4-11,ovarian,1.067651810951491,0.9798332239331272,0.0538096406653885,0,-6744954588533527131,0.13793103448275862,0.08781858701836376,1.0461207159626411
pd-l1 inhibitor,cdk4/6 inhibitor,sk-mel-2,prostate,1.357954438467984,0.1369114362045603,-7.1814461680237525,0,5818735765216662878,0.14516129032258066,1.2210430022634238,0.18591949247100892
braf inhibitor,proteasome inhibitor,hela,head and neck,1.036001766479444,0.038682657945783,-0.6280690192191205,0,9213250938878087674,0.11864406779661017,0.9973191085336611,0.040075301963951294
histone deacetylase inhibitor,ctla-4 inhibitor,caco-2,urinary tract,1.5140392750266451,3.5072929037568508,-4.953244722737348,0,3617705915183476983,0.1,1.9932536287302056,5.31017920531012
pdgfr inhibitor,mek inhibitor,molt-4,colorectal,1.8083867759270336,1.4877681549471211,8.083521216761987,1,6484959320829176568,0.23529411764705882,0.32061862097991245,2.6904602570517357
met inhibitor,bcl-2 inhibitor,ovcar-3,endometrium,0.0199467809163054,2.98548028057035,-5.302269239445473,0,-4321257046466173029,0.08196721311475409,2.9655334996540446,0.05955072108648675
microtubule stabilizer,ctla-4 inhibitor,mda-mb-453,stomach,1.2475973399332378,0.534257754488062,-7.317383972383009,0,-1570868997913481992,0.06557377049180328,0.7133395854451758,0.666538553338011
braf inhibitor,proteasome inhibitor,molt-4,endometrium,6.620844442019276,0.8464958145330455,3.528741617568242,0,9213250938878087674,0.08196721311475409,5.774348627486231,5.6045171088436945
cdk4/6 inhibitor,pd-l1 inhibitor,caco-2,lung,1.4639102431696511,0.0611325959452544,5.363407483162424,1,-73103272564706223,0.2826086956521739,1.4027776472243967,0.0894926333958094
flt3 inhibitor,heat shock protein inhibitor,mda-mb-453,endometrium,2.263566426447793,6.513795391693862,-6.32081042538449,0,4695320756065475930,0.08196721311475409,4.25022896524607,14.744408557388578
microtubule stabilizer,met inhibitor,pc-3,colorectal,0.7475371593797607,2.2044450356247736,12.284939338474402,1,-1332490974753164922,0.23529411764705882,1.4569078762450127,1.6479045799397587
mtor inhibitor,proteasome inhibitor,sk-mel-2,gastric,2.974364261341995,5.412256730803273,-5.191957497902567,0,2939475891595384475,0.05172413793103448,2.437892469461278,16.09802299330892
protac degrader,histone deacetylase inhibitor,hl60,melanoma,2.96491885297936,0.6171207844024639,1.166288807199889,0,-6409670583503522363,0.12903225806451613,2.347798068576896,1.8297130482402761
bcl-2 inhibitor,il-2 inhibitor,mda-mb-453,melanoma,1.4733458524055132,1.890736897523789,4.568298678282416,0,-7027982604898141310,0.12903225806451613,0.41739104511827585,2.7857093659567425
flt3 inhibitor,histone deacetylase inhibitor,rs4-11,liver,7.460555169071689,2.2695152733625146,12.254681684501628,1,5970765476233564045,0.1527777777777778,5.191039895709174,16.931843903971856
egfr inhibitor,parp inhibitor,ccrf-cem,melanoma,0.2683208145687498,0.764131150929663,2.915500999583605,0,-1373678419889766907,0.12903225806451613,0.4958103363609132,0.20503229285480346
egfr inhibitor,il-2 inhibitor,sw480,head and neck,0.0341858401169344,3.7691873358163903,-1.5120538966057069,0,8380963858842692110,0.11864406779661017,3.7350014956994557,0.12885283563299305
braf inhibitor,microtubule stabilizer,mv4-11,bone,2.9407281679195654,5.881028970363017,-7.641465023586498,0,1211508488931241798,0.10416666666666667,2.940300802443452,17.294507549497524
heat shock protein inhibitor,stat3 inhibitor,a431,renal,3.2917426161318923,4.323128194874784,0.3593411312201233,0,6139907405188710019,0.0851063829787234,1.031385578742892,14.230625314070668
kras inhibitor,mtor inhibitor,sum-159,renal,0.2561377737569413,2.686983034769342,-2.298482543112698,0,1026492633065556846,0.0851063829787234,2.4308452610124007,0.6882378526484894
pi3k inhibitor,tnf-alpha inhibitor,hl60,pancreas,0.6173561286960697,0.6499779479932112,-0.2409021512184477,0,-3059226791807185935,0.09259259259259259,0.032621819297141474,0.40126786971090417
